Date,Symbol,Name,Avg Daily Share Volume (3mo),AUM
2025-06-19 21:06:21,TSLZ,T-Rex 2X Inverse Tesla Daily Target ETF,93136328,96325.60
2025-06-19 21:06:21,SOXS,Direxion Daily Semiconductor Bear 3x Shares,87654422,1227480
2025-06-19 21:06:21,SPY,SPDR S&P 500 ETF Trust,80064305,604776000
2025-06-19 21:06:21,SPXS,Direxion Daily S&P 500 Bear 3X Shares,79408867,445062
2025-06-19 21:06:21,MSTU,T-Rex 2X Long MSTR Daily Target ETF,67292430,1583880
2025-06-19 21:06:21,QQQ,Invesco QQQ Trust Series I,51113387,337425000
2025-06-19 21:06:21,HYG,iShares iBoxx $ High Yield Corporate Bond ETF,50124680,16635100
2025-06-19 21:06:21,FXI,iShares China Large-Cap ETF,46320688,6137430
2025-06-19 21:06:21,XLF,Financial Select Sector SPDR Fund,46007223,48022500
2025-06-19 21:06:21,IBIT,iShares Bitcoin Trust ETF,43308645,71415400
2025-06-19 21:06:21,TLT,iShares 20+ Year Treasury Bond ETF,42374723,48404600
2025-06-19 21:06:21,NVDQ,T-Rex 2X Inverse NVIDIA Daily Target ETF,40705332,45803.90
2025-06-19 21:06:21,PSLV,The Sprott Physical Silver Trust,40090305,N/A
2025-06-19 21:06:21,MSTZ,T-Rex 2X Inverse MSTR Daily Target ETF,39186277,163972
2025-06-19 21:06:21,IWM,iShares Russell 2000 ETF,35365242,62161300
2025-06-19 21:06:21,LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,28776160,27859500
